date,open,high,low,close,volume
2016-11-08,32980,32980,32700,32880,5417450
2016-11-09,32920,33140,31820,31920,15683600
2016-11-10,32600,33000,32360,32980,11795350
2016-11-11,31700,32360,31700,31960,12836800
2016-11-14,31900,31920,31040,31060,15133300
2016-11-15,31060,31620,30780,30780,13665700
2016-11-16,30800,31280,30800,31160,13308200
2016-11-17,31100,31520,30900,31360,7870550
2016-11-18,31640,31760,31400,31720,9460750
2016-11-21,31300,32120,31300,31860,8180200
2016-11-22,32140,32900,32000,32800,9751100
2016-11-23,33220,33220,32520,32980,12668600
2016-11-24,32980,33040,32660,33000,7757150
2016-11-25,32820,33040,32660,33000,6276900
2016-11-28,33000,33620,32800,33540,13294050
2016-11-29,33800,33960,33380,33540,18081300
2016-11-30,33540,34940,33540,34920,28535200
2016-12-01,34800,35060,34660,34980,15535350
2016-12-02,34480,34760,34140,34540,15352950
2016-12-05,34340,34680,34220,34360,8484600
2016-12-06,34440,35200,34400,34960,14001800
2016-12-07,35040,35480,35040,35440,9603650
2016-12-08,35980,36020,35520,35800,16462550
2016-12-09,35900,35900,35400,35600,10652450
2016-12-12,34660,35360,34660,35040,11414450
2016-12-13,34620,35440,34620,35320,11684450
2016-12-14,35560,35680,35280,35540,7455100
2016-12-15,34820,35500,34820,35180,5773550
2016-12-16,35300,36020,35200,35860,11747700
2016-12-19,35620,36380,35620,35900,5435800
2016-12-20,35920,36400,35840,36240,7615200
2016-12-21,36360,36600,36020,36100,6552100
2016-12-22,36260,36300,35980,36180,6354600
2016-12-23,36020,36080,35600,35640,8334850
2016-12-26,35600,36000,35560,35960,4823600
2016-12-27,35980,36200,35860,35980,4653450
2016-12-28,35840,35980,35600,35760,6662900
2016-12-29,35420,36040,35400,36040,7516450
2017-01-02,35980,36240,35880,36100,4650600
2017-01-03,36280,36620,36020,36480,7357650
2017-01-04,36500,36520,36100,36160,7971750
2017-01-05,36060,36060,35540,35560,10967450
2017-01-06,36180,36440,36040,36200,8880950
2017-01-09,36600,37500,36560,37220,13194900
2017-01-10,37280,37400,37080,37240,9099800
2017-01-11,37520,38560,37420,38280,12018150
2017-01-12,38000,38800,37980,38800,11669150
2017-01-13,38100,38320,37460,37460,15954450
2017-01-16,36860,37820,36320,36660,16611500
2017-01-17,36580,37460,36580,36960,8150700
2017-01-18,37040,37500,36620,36940,8875400
2017-01-19,37720,37920,37020,37480,9418900
2017-01-20,37120,37420,36880,37200,9185000
2017-01-23,37200,38060,37000,38060,8810400
2017-01-24,38120,38580,37880,38160,11048750
2017-01-25,38340,39400,38320,39400,13433850
2017-01-26,39420,40000,39420,39900,15214500
2017-01-31,39900,39900,39460,39460,17992200
2017-02-01,39540,39660,39040,39120,14150400
2017-02-02,39600,39660,39200,39360,15029300
2017-02-03,39400,39500,39180,39460,10386350
2017-02-06,39580,39660,39140,39560,8860700
2017-02-07,39560,39580,38760,38820,14041800
2017-02-08,38740,38780,38200,38400,17092950
2017-02-09,38780,38840,38220,38400,13694150
2017-02-10,38400,38760,38300,38360,11020750
2017-02-13,37740,38060,37720,37960,11102050
2017-02-14,37960,38260,37320,37580,13124150
