Date,Close,Volume,Diff,Volatility
20130514,1.0024,0.7035,0.0087,0.0114
20130515,1.0024,0.8311,0.0101,0.0108
20130516,1.0079,1.1488,0.0047,0.0093
20130520,1.0005,0.9691,-0.0033,0.0107
20130521,0.9969,0.9266,-0.0119,0.0166
20130522,1.008,0.7955,0.0033,0.0126
20130523,0.9912,0.9632,-0.0054,0.0121
20130524,0.9926,0.8177,-0.0007,0.0148
20130527,0.9948,0.4949,-0.0007,0.0081
20130528,0.9921,0.933,0.002,0.0101
20130529,1.011,1.188,0.0189,0.027
20130530,1.0323,1.819,0.0171,0.0244
20130531,1.0281,1.4332,-0.0052,0.0142
20130603,1.0239,0.822,-0.0026,0.0202
20130604,1.029,0.6798,0.0046,0.0137
20130605,1.0163,1.0883,-0.0181,0.0207
20130607,0.9542,4.2047,-0.0325,0.0414
20130610,0.9537,2.0367,0.0035,0.0204
20130611,0.9304,2.5952,-0.0156,0.0291
20130612,0.9283,1.7076,0.0051,0.0298
20130613,0.9102,2.4756,-0.0167,0.029
20130614,0.919,1.2924,0.0029,0.0147
20130617,0.9175,0.8672,-0.0029,0.0095
20130618,0.9322,0.815,0.0139,0.0197
20130619,0.9208,0.7575,-0.0094,0.0152
20130620,0.8946,1.3124,-0.0104,0.0164
20130621,0.8925,2.0299,0.024,0.0332
20130624,0.8847,1.1753,-0.0274,0.0274
20130625,0.8746,1.5416,-0.0031,0.0231
20130626,0.8514,2.3293,-0.0307,0.0461
20130627,0.9047,1.8761,0.034,0.0448
20130628,0.9073,1.5165,-0.0059,0.0156
20130701,0.8972,0.9279,-0.006,0.018
20130702,0.9039,0.7396,-0.0037,0.0164
20130703,0.8816,0.9245,-0.0247,0.033
20130704,0.8931,0.6523,0.0115,0.0161
20130705,0.8603,2.1652,-0.0148,0.0428
20130708,0.8338,1.8631,-0.0192,0.0392
20130709,0.8428,1.3756,0.0057,0.0171
20130710,0.8516,1.2005,0.0024,0.012
20130711,0.8965,1.429,0.0488,0.0488
20130712,0.8976,0.7808,-0.0061,0.0174
20130715,0.8993,0.6584,-0.0015,0.0259
20130716,0.8906,0.6398,-0.0152,0.0235
20130717,0.9071,0.8467,0.0146,0.0338
20130718,0.8893,1.0795,-0.0249,0.0249
20130719,0.8778,1.1128,-0.0116,0.0241
20130722,0.8793,0.7074,-0.0055,0.0188
20130723,0.9042,0.8149,0.0267,0.0275
20130724,0.9112,0.5999,0.0061,0.0168
20130725,0.9126,0.5829,-0.0015,0.0106
20130726,0.9058,0.9317,-0.0084,0.0152
20130729,0.8936,0.8078,-0.0062,0.0163
20130730,0.8999,0.6458,0.0102,0.0141
20130731,0.8943,0.8764,0,0.0086
20130801,0.8958,0.6254,-0.0039,0.0109
20130802,0.9013,0.7747,-0.0054,0.0139
20130805,0.8944,0.5581,-0.007,0.007
20130806,0.882,0.9997,0.0072,0.0217
20130807,0.8611,1.1042,-0.0121,0.0146
20130808,0.8589,1.261,0.0033,0.0181
20130809,0.8696,0.8516,0.0008,0.0171
20130812,0.8725,0.7166,0.0016,0.0187
20130813,0.9146,1.4695,0.037,0.0386
20130814,0.9227,0.9116,0.0085,0.0116
20130816,0.9205,0.7996,0.007,0.0148
20130819,0.9155,0.4586,0,0.0124
20130820,0.9049,1.0031,-0.0208,0.0278
20130821,0.8973,0.8675,-0.0071,0.0206
20130822,0.8983,0.8407,0.004,0.0176
20130823,0.9284,1.1968,0.0117,0.0227
20130826,0.9335,0.7997,-0.0008,0.0069
20130827,0.9378,0.6347,-0.0023,0.0107
20130828,0.9427,0.6604,0.0195,0.0202
20130829,0.9691,1.1339,0.0205,0.0258
20130830,0.9875,1.1875,0.0059,0.0125
20130902,0.9764,0.6983,-0.0124,0.0154
20130903,0.9676,0.8172,-0.0198,0.0279
20130904,0.9712,0.7565,0.0075,0.0248
20130905,0.9904,1.043,-0.0036,0.0095
20130906,0.9944,0.8239,-0.0007,0.0124
20130909,0.9984,0.6454,0.0015,0.0088
20130910,1.0161,1.0193,0.0197,0.0205
20130911,1.021,0.9248,0.0029,0.0122
20130912,1.0274,1.5038,0.0036,0.0206
20130913,1.0252,0.8453,-0.0021,0.0099
20130916,1.0395,0.8044,0.0014,0.0098
20130917,1.0118,1.1744,-0.0239,0.0275
20130923,0.9938,1.6497,-0.0037,0.0205
20130924,1.0041,1.0227,0.0231,0.0306
20130925,0.9984,0.7536,-0.0022,0.0168
20130926,1.0053,0.7035,0.0059,0.0117
20130927,1.0021,0.7867,-0.0065,0.0102
20130930,1.004,0.7865,0.0007,0.0161
20131001,1.0161,0.6593,0.0014,0.0167
20131002,1.0431,1.1814,0.0143,0.025
20131004,1.0436,1.0577,-0.0139,0.0195
20131007,1.0575,0.687,-0.0007,0.0084
20131008,1.0534,0.7089,0.0092,0.0113
20131010,1.0538,0.9258,0.0063,0.0077
20131011,1.0638,0.7528,0.0021,0.0076
20131014,1.0606,0.4943,-0.0069,0.0076
20131015,1.075,0.6741,0.0048,0.0083
20131016,1.0703,0.5402,-0.0129,0.0163
20131017,1.0801,0.6147,0.0021,0.0096
20131018,1.087,0.5312,0,0.0082
20131021,1.0813,0.4837,-0.0075,0.0237
20131022,1.0749,0.8372,-0.0034,0.0178
20131023,1.0656,0.5818,-0.015,0.0191
20131024,1.0711,0.6043,0.0126,0.014
20131025,1.0716,0.459,-0.0007,0.0131
20131028,1.0965,0.7767,0.0116,0.0184
20131029,1.1028,0.7137,0,0.0081
20131030,1.1105,0.7311,0.0101,0.0108
20131031,1.0851,0.8707,-0.022,0.0247
20131101,1.1113,0.7831,0.0067,0.0215
20131104,1.1099,0.7739,0.0047,0.0087
20131105,1.0991,0.5769,-0.0113,0.02
20131106,1.0734,0.8946,-0.0314,0.0327
20131107,1.0626,0.9592,-0.0096,0.02
20131108,1.0423,1.024,-0.0007,0.0149
20131111,1.0551,0.6453,0.0021,0.0175
20131112,1.0751,0.7384,0.0111,0.0208
20131113,1.0475,0.7549,-0.018,0.0208
20131114,1.0508,0.7653,-0.0213,0.0213
20131115,1.0778,0.6344,0.0195,0.0209
20131118,1.0854,0.4939,0.0027,0.0075
20131119,1.0951,0.6366,0.004,0.0081
20131120,1.0797,0.6425,-0.002,0.0156
20131121,1.0563,0.7215,-0.0217,0.0272
20131122,1.0627,0.6954,0.0062,0.0173
20131125,1.0728,0.5428,0.0096,0.0145
20131126,1.0818,0.707,0.0144,0.0165
20131127,1.0742,0.7706,0.002,0.0109
20131128,1.0902,0.8787,0.0095,0.0101
20131129,1.0888,0.5584,-0.0033,0.0093
20131202,1.0675,0.6312,-0.022,0.024
20131203,1.0613,0.668,-0.002,0.0143
20131204,1.0388,0.9359,-0.0124,0.0152
20131205,1.0432,0.9098,0.0049,0.0167
20131206,1.0336,0.8023,-0.0179,0.0179
20131209,1.0513,0.616,0.0097,0.0097
20131210,1.0403,0.6839,-0.0007,0.0139
20131211,1.0249,0.9363,-0.0042,0.0196
20131212,1.017,1.3148,0.01,0.01
20131213,1.0019,0.8879,-0.0142,0.0149
20131216,1.0082,0.796,0.0065,0.0151
20131217,1.0037,0.6916,-0.0155,0.0169
20131218,1.0073,0.972,-0.0028,0.0114
20131219,1.0252,0.9396,0.0063,0.0113
20131220,1.0244,0.7486,0.0099,0.0099
20131223,1.0277,0.9499,-0.0028,0.0063
20131224,1.0139,0.9811,-0.0105,0.0119
20131226,1.008,1.0969,0,0.0099
20131227,0.9986,0.9385,-0.0099,0.0113
20131230,0.9808,1.4993,-0.0172,0.0265
20140102,0.9356,2.7037,-0.0289,0.0393
20140103,0.9261,2.2726,-0.0031,0.0185
20140106,0.9336,1.6852,0.0031,0.0184
20140107,0.931,1.6818,0.0031,0.0177
20140108,0.9212,1.7385,-0.0069,0.0131
20140109,0.9095,1.7905,-0.0245,0.0245
20140110,0.9071,1.5222,-0.0024,0.011
20140113,0.9234,1.3818,0.0094,0.0187
20140114,0.9362,1.2345,0.0123,0.0308
20140115,0.9262,0.9851,-0.0233,0.0248
20140116,0.9275,0.8156,0.0008,0.0131
20140117,0.9209,1.0696,-0.0069,0.0177
20140120,0.9377,0.7293,0.0084,0.0176
20140121,0.9429,0.6375,0.0068,0.0122
20140122,0.9455,0.9176,0.0107,0.0122
20140123,0.9249,0.877,-0.0129,0.0175
20140124,0.9305,1.1831,0.0054,0.0208
20140127,0.92,1.124,-0.0008,0.0147
20140128,0.914,0.9893,0.0079,0.0157
20140129,0.9124,1.619,0,0.0086
20140203,0.9072,1.3652,-0.0109,0.0132
20140204,0.8914,1.3415,-0.0111,0.0111
20140205,0.8834,1.2447,-0.0064,0.0169
20140206,0.8999,1.2672,0.0112,0.0217
20140207,0.9119,0.8305,0,0.0125
20140210,0.914,0.6522,0.0047,0.0149
20140211,0.9389,1.0625,0.0234,0.0336
20140212,0.9366,0.8423,-0.018,0.0195
20140213,0.9309,0.4971,-0.0015,0.0231
20140214,0.9338,0.5324,0.0039,0.0123
20140217,0.9232,0.805,-0.0054,0.0201
20140218,0.931,0.5118,0.0078,0.0132
20140219,0.9279,0.5437,-0.0077,0.0154
20140220,0.9256,0.8438,-0.0031,0.0116
20140221,0.9575,1.2648,-0.0023,0.0248
20140224,0.9564,0.6563,-0.0045,0.018
20140225,0.9609,0.7785,0.0015,0.0105
20140226,0.9669,1.1435,0.0037,0.0135
20140227,0.9664,0.6997,0.0045,0.009
20140228,0.9727,1.2657,0.009,0.0127
20140303,0.956,1.0799,-0.0082,0.0142
20140304,0.9496,0.7063,-0.0038,0.0106
20140305,0.9611,0.6716,-0.0037,0.0082
20140306,0.959,0.7761,-0.0023,0.0143
20140307,0.9691,0.6822,0,0.0075
20140310,0.9562,0.7815,0,0.0098
20140311,0.9586,0.8203,0.0015,0.0136
20140312,0.9393,1.1318,-0.0197,0.0205
20140313,0.9376,1.0547,-0.0031,0.0178
20140314,0.928,0.9701,0.0039,0.0118
20140317,0.9228,0.7884,-0.0071,0.0141
20140318,0.9327,0.9884,0.0063,0.0134
20140319,0.9273,0.6841,-0.0086,0.0133
20140320,0.9235,0.5334,-0.0063,0.0079
20140321,0.9327,0.7462,0.0032,0.0087
20140324,0.9342,0.6368,0.0103,0.0119
20140325,0.9167,1.2229,-0.0173,0.0229
20140326,0.9461,1.5561,0.0126,0.0331
20140327,0.9825,1.8488,0.0333,0.0372
20140328,0.9851,0.9436,0.0114,0.0136
20140331,0.9922,1.1725,-0.0015,0.0171
20140401,0.9903,0.9772,-0.0045,0.0104
20140402,1.0043,1.1543,0.0052,0.0104
20140403,1.0291,1.6739,0.0289,0.0326
20140404,1.0219,1.6061,0.0022,0.0145
20140407,1.0347,0.9375,0,0.0165
20140408,1.033,0.9235,0.005,0.0173
20140409,1.0163,1.3909,-0.0165,0.0222
20140410,1.0233,0.866,0.008,0.0146
20140411,1.0129,0.9213,0.0022,0.0066
20140414,1.0174,0.9117,0.0037,0.0154
20140415,1.0183,0.9425,-0.0115,0.013
20140416,1.0264,0.799,0.0073,0.0212
20140417,1.0195,0.6225,-0.0044,0.0102
20140418,1.026,0.8176,0.0058,0.0066
20140421,1.0282,0.2842,0.0007,0.008
20140422,1.0252,0.5252,0.0007,0.0095
20140423,1.0363,0.82,-0.0036,0.0093
20140424,1.0504,0.9104,-0.0014,0.0071
20140425,1.0452,1.3085,-0.0148,0.0211
20140428,1.0376,0.8068,-0.0114,0.0171
20140429,1.0174,0.9308,-0.0209,0.0317
20140430,1.0054,1.2793,-0.0268,0.0399
20140502,1.0083,1.2656,-0.0059,0.0111
20140507,1.0075,1.1967,-0.0044,0.0119
20140508,1.0127,1.3625,-0.0037,0.0081
20140509,1.0023,1.096,-0.0155,0.0236
20140512,1.0423,1.3224,0.0389,0.0472
20140513,1.0514,1.0065,0.0086,0.0267
20140514,1.0625,0.9223,0.0043,0.0099
20140515,1.0586,0.5664,-0.0028,0.0113
20140516,1.0719,1.3106,0.02,0.0271
20140519,1.0865,1.5826,0.014,0.0294
20140520,1.0886,1.3081,0.0042,0.0131
20140521,1.0809,0.8843,0.0042,0.0105
20140522,1.0698,0.7787,-0.0104,0.0153
20140523,1.0711,0.6962,0.0164,0.0164
20140526,1.0665,0.3077,0.0014,0.012
20140527,1.0552,0.393,-0.0071,0.0141
20140528,1.0742,0.7664,0.0099,0.0183
20140529,1.0932,1.0593,0.0069,0.0172
20140530,1.0793,1.3515,-0.0184,0.0265
20140602,1.0871,0.6418,0.0083,0.0132
20140603,1.0969,1.4901,-0.0094,0.0202
20140605,1.0859,1.1749,-0.0061,0.0205
20140609,1.049,1.9354,-0.0415,0.0483
20140610,1.0679,0.8071,0.0106,0.0232
20140611,1.0564,0.7608,0.0071,0.0127
20140612,1.049,1.1433,-0.0119,0.0203
20140613,1.0143,1.6322,-0.025,0.0292
